,tweet_id,retweet_count,favourite_count
599,796031486298386433,3508,10284
600,795464331001561088,22007,46861
601,795400264262053889,2688,9525
602,795076730285391872,5108,15357
603,794983741416415232,3163,0
604,794926597468000259,2165,9696
605,794355576146903043,9676,0
606,794332329137291264,2541,9144
607,794205286408003585,3117,8782
608,793962221541933056,4584,15922
609,793845145112371200,1750,8783
610,793614319594401792,2932,0
611,793601777308463104,1519,7590
612,793500921481273345,2237,10138
613,793286476301799424,8603,23372
614,793271401113350145,2250,8262
615,793256262322548741,7817,18959
616,793241302385262592,3082,10004
617,793226087023144960,2721,9293
618,793210959003287553,2614,8489
619,793195938047070209,5283,14470
620,793180763617361921,1867,6575
621,793165685325201412,2632,8913
622,793150605191548928,1598,5861
623,793135492858580992,2364,6092
624,793120401413079041,3693,12044
625,792913359805018113,3719,13617
626,792883833364439040,4009,10726
627,792773781206999040,1575,7007
628,792394556390137856,4020,12732
629,792050063153438720,1674,6786
630,791821351946420224,19741,0
631,791784077045166082,8919,0
632,791780927877898241,3563,0
633,791774931465953280,20797,42819
634,791672322847637504,2932,11164
635,791406955684368384,3863,12498
636,791312159183634433,2369,8330
637,791026214425268224,3823,0
638,790987426131050500,1992,9317
639,790946055508652032,4396,15879
640,790723298204217344,2149,0
641,790698755171364864,1809,7810
642,790581949425475584,6657,19593
643,790337589677002753,1770,7426
644,790277117346975746,2960,11919
645,790227638568808452,3317,0
646,789986466051088384,2149,8813
647,789960241177853952,3843,0
648,789903600034189313,3889,9801
649,789628658055020548,1652,7089
650,789599242079838210,1798,6390
651,789530877013393408,3163,11098
652,789314372632018944,2141,8204
653,789280767834746880,4596,0
654,789268448748703744,2450,8674
655,789137962068021249,2611,9236
656,788908386943430656,11725,26102
657,788765914992902144,9676,25938
658,788552643979468800,6673,0
659,788412144018661376,4934,14745
660,788178268662984705,1982,6912
661,788150585577050112,1202,5807
662,788070120937619456,3218,0
663,788039637453406209,1231,5804
664,787810552592695296,2844,8163
665,787717603741622272,2589,9718
666,787397959788929025,2670,10345
667,787322443945877504,1628,7408
668,787111942498508800,6303,0
669,786963064373534720,7443,25311
670,786729988674449408,2277,0
671,786709082849828864,5739,17385
672,786664955043049472,2368,10061
673,786595970293370880,2924,8993
674,786363235746385920,3223,10293
675,786286427768250368,2652,7568
676,786233965241827333,4385,14424
677,786051337297522688,148,1355
678,786036967502913536,6507,0
679,785927819176054784,2993,10826
680,785872687017132033,1674,6354
681,785639753186217984,2106,7468
682,785533386513321988,1843,8603
683,785515384317313025,1166,5805
684,785264754247995392,1520,6914
685,785170936622350336,4505,11390
686,784826020293709826,3014,9586
687,784517518371221505,2369,8504
688,784431430411685888,1184,5451
689,784183165795655680,7487,18985
690,784057939640352768,10373,28138
691,783839966405230592,10061,28425
692,783821107061198850,1831,6996
693,783695101801398276,2993,9884
694,783466772167098368,2077,7989
695,783391753726550016,5099,16014
696,783347506784731136,5153,0
697,783334639985389568,10897,27527
698,783085703974514689,2022,7743
699,782969140009107456,6900,22841
700,782747134529531904,1320,7079
701,782722598790725632,5021,16312
702,782598640137187329,1768,7388
703,782305867769217024,5131,15729
704,782021823840026624,5744,0
705,781955203444699136,3142,10581
706,781661882474196992,2529,9889
707,781655249211752448,1053,3788
708,781524693396357120,5150,19610
709,781308096455073793,2385,6755
710,781251288990355457,1931,7926
711,781163403222056960,2584,9286
712,780931614150983680,6755,20505
713,780858289093574656,1868,6809
714,780800785462489090,1202,5200
715,780601303617732608,3127,11437
716,780543529827336192,1629,5958
717,780496263422808064,3429,0
718,780476555013349377,103,0
719,780459368902959104,1005,5001
720,780192070812196864,2091,8223
721,780092040432480260,2140,0
722,780074436359819264,4578,11442
723,779834332596887552,6507,17780
724,779377524342161408,2892,8262
725,779124354206535695,17043,0
726,779056095788752897,4217,13914
727,778990705243029504,6663,18775
728,778774459159379968,9168,0
729,778764940568104960,338,823
730,778748913645780993,1209,6467
731,778650543019483137,1394,5429
732,778624900596654080,943,4345
733,778408200802557953,4012,12879
734,778396591732486144,11354,0
735,778383385161035776,1019,5509
736,778286810187399168,3065,9749
737,778039087836069888,2468,7996
738,778027034220126208,1494,6203
739,777953400541634568,3273,0
740,777885040357281792,1517,6000
741,777684233540206592,2729,10635
742,777641927919427584,3927,0
743,777621514455814149,2344,8229
744,777189768882946048,3988,13339
745,776819012571455488,12623,0
746,776813020089548800,1114,4608
747,776477788987613185,2566,8258
748,776249906839351296,8474,0
749,776218204058357768,14748,28134
750,776201521193218049,2337,9035
751,776113305656188928,4030,11129
752,776088319444877312,141,1718
753,775898661951791106,15553,0
754,775842724423557120,2468,11047
755,775733305207554048,3704,13098
756,775729183532220416,4282,12282
757,775364825476165632,2718,6954
758,775350846108426240,3630,9590
759,775085132600442880,4376,14638
760,774757898236878852,1656,8144
761,774639387460112384,1616,6369
762,774314403806253056,5095,20567
763,773985732834758656,3589,10175
764,773922284943896577,1630,6064
765,773704687002451968,1498,6243
766,773670353721753600,1225,5060
767,773547596996571136,5702,20842
768,773336787167145985,4679,0
769,773308824254029826,6955,22003
770,773247561583001600,3009,8891
771,773191612633579521,3810,9404
772,772877495989305348,3581,8058
773,772826264096874500,2213,7575
774,772615324260794368,3122,0
775,772581559778025472,1588,6112
776,772193107915964416,1291,5686
777,772152991789019136,1055,3596
778,772117678702071809,688,3557
779,772114945936949249,440,2585
780,772102971039580160,866,3778
781,771908950375665664,1758,6197
782,771770456517009408,3144,11302
783,771500966810099713,2424,7783
784,771380798096281600,4679,9929
785,771171053431250945,6904,0
786,771136648247640064,2712,8621
787,771102124360998913,1337,5870
788,771014301343748096,1539,6490
789,770787852854652928,1105,4625
790,770772759874076672,1328,4894
791,770655142660169732,1670,6935
792,770414278348247044,1929,5952
793,770293558247038976,1357,5859
794,770093767776997377,2818,0
795,770069151037685760,2128,7154
796,769940425801170949,8845,29327
797,769695466921623552,1564,6052
798,769335591808995329,7137,0
799,769212283578875904,1601,5089
800,768970937022709760,6006,13420
801,768909767477751808,2444,0
802,768855141948723200,827,3941
803,768609597686943744,1099,3863
804,768596291618299904,1189,4740
805,768554158521745409,5390,0
806,768473857036525572,3163,12786
807,768193404517830656,3273,10205
808,767884188863397888,1266,4475
809,767754930266464257,4965,15004
810,767500508068192258,2153,7066
811,767191397493538821,3481,11551
812,767122157629476866,2653,9564
813,766793450729734144,1260,4756
814,766714921925144576,348,2466
815,766693177336135680,730,3801
816,766423258543644672,1459,5648
817,766313316352462849,1736,6352
818,766078092750233600,2425,0
819,766069199026450432,778,3953
820,766008592277377025,461,3544
821,765719909049503744,1997,6814
822,765669560888528897,1133,4861
823,765395769549590528,3119,25146
824,765371061932261376,2007,6685
825,765222098633691136,3122,10942
826,764857477905154048,1651,6091
827,764259802650378240,1395,5650
828,763956972077010945,50,734
829,763837565564780549,3823,11782
830,763183847194451968,1359,5066
831,763167063695355904,2756,0
832,763103485927849985,2125,6943
833,762699858130116608,3317,11377
834,762471784394268675,5928,10526
835,762464539388485633,3843,9658
